STATION_ID;STATION_NAME;HOEHE;GEO_BREITE;GEO_LAENGE;2015-1-1;2015-1-2;2015-1-3;2015-1-4;2015-1-5;2015-1-6;2015-1-7;2015-1-8;2015-1-9;2015-1-10;2015-1-11;2015-1-12;2015-1-13;2015-1-14;2015-1-15;2015-1-16;2015-1-17;2015-1-18;2015-1-19;2015-1-20;2015-1-21;2015-1-22;2015-1-23;2015-1-24;2015-1-25;2015-1-26;2015-1-27;2015-1-28;2015-1-29;2015-1-30;2015-1-31
3927;Pfullendorf;630;47.9344;9.2869;-5.1;-1.6;2;0.4;-2.6;-2.4;0.4;3.6;5.5;10.7;2.7;2.4;5.6;4.6;2.6;2.6;0.7;-0.9;-0.9;-0.2;-1.3;-1.7;-1.4;-0.9;-1.3;-1.8;-0.8;-0.4;0.1;-0.9;-0.7
3925;Pforzheim-Ispringen;333;48.9318;8.6959;0.7;1.6;3;2;0.3;-1.3;1;6;8.4;12;4;5.7;9.9;5.7;7.2;5.7;2.6;0.1;-1;-0.7;-0.3;0.1;-0.1;-0.1;0.5;0.7;1.7;3.1;2.1;0.8;0.4
164;Angermünde;54;53.0316;13.9907;3.4;5;3.8;3;2.3;-1;1;3;5.8;7.9;3.4;5.2;9;5.3;3.8;7;2.7;-0.5;-0.8;0.8;-0.1;-1.7;-1.4;-1.2;0.5;1.6;3.1;2.3;1.9;0.4;-0.8
4024;Putbus;40;54.3643;13.477;3.8;5.6;3.9;3.1;2.6;0;1.8;3.6;5.6;6.6;3.6;5.9;6.9;3.7;3.5;6.1;2.9;0.5;0.1;1.1;-0.1;-2;-1.1;-1.1;1.1;1.8;2.7;2.5;1.5;0.3;0.2
5562;Neubulach-Oberhaugstett;570;48.6516;8.6801;-0.6;0.5;2.2;0.7;-1.3;-1.3;0.9;4.9;6.6;10.7;2.1;3.4;6.7;3.8;3.6;4.2;1.4;-1.4;-1.2;-0.9;-1.2;-1.6;-1.2;-1.1;-0.6;-0.5;0.5;0.6;0.3;-0.9;-1.3
15207;Schauenburg-Elgershausen;317;51.2835;9.359;0.2;3;1.8;2.5;0.6;-0.4;0.7;3.2;6.4;9.7;3;4.7;7;3.2;5.4;5;1.8;-0.6;-0.6;-1.1;-2.6;-0.9;-1.8;-1.6;1.2;0.7;1.7;1.7;0.6;-0.8;-0.9
167;Anklam;9;53.8412;13.6846;3.7;5.9;4;2.9;2.9;-0.7;1.5;3.7;6;7.4;3.3;5.9;8.1;4.6;3.8;6.6;2.9;-0.2;-0.6;0.9;-0.7;-0.4;-0.6;-0.7;1.2;2.1;3.2;2.7;1.8;0.1;-0.6
5825;Berge;40;52.6198;12.7867;3.5;5.8;4.4;3.5;3.6;1.9;2.7;4;6.5;8.8;3.4;5.9;9.8;5.6;5;7.3;3.1;-0.2;-0.8;0.7;-0.6;-0.6;-0.4;0;0.7;2.5;3.2;3.3;2.2;0.7;0.1
3552;Neuruppin;38;52.9037;12.8072;3.1;5.1;3.8;3.4;3.4;1.6;2.3;3.5;5.9;8.2;3.2;5.5;8.6;4.9;4.3;6.4;2.3;0;-0.5;0.8;-0.7;-1.1;-0.3;-0.1;0.6;2.3;3;2.8;1.9;0.6;-0.4
3254;Meppen;19;52.7156;7.3176;3;;;3.4;2.2;3.5;4.1;5.3;8.1;9.7;5.2;7.7;8.2;3.8;7.2;5.4;2.2;1.5;0.5;-0.6;-2.2;-1.5;-2.5;0.2;2;3.7;3.7;4.3;1.6;0.4;
3257;Mergentheim, Bad-Neunkirchen;250;49.4773;9.7623;1;1.4;1.5;1.9;0.8;-3.3;1.1;5;7.7;11.2;4.3;5.6;8.1;5.2;6;6.1;3.7;1;2.1;0;-1.8;1.1;0.7;0.2;0.9;1;1.8;2.6;2.1;1.1;0.8
3857;Oy-Mittelberg-Petersthal;885;47.636;10.3891;-7;1.3;3.1;-0.4;-2.2;-0.9;1.6;4.4;5.2;11.1;1.3;2.4;4.3;2.8;1.2;2.5;0.1;-2.1;-5.9;-2.4;-5;-3.7;-2.5;-2.2;-3.5;-3;-1.6;-1.7;-0.6;-2.8;-2
1255;Eppingen-Elsenz;220;49.1664;8.8523;0.8;0.9;1.5;2;0;-1.6;1;4.7;7.8;11.8;4.8;5.6;8;5.8;6.5;5.8;3.3;-0.8;-1.1;-0.4;0;1.1;0.9;0;0.9;0.7;2.2;3.1;2.6;1.1;0.3
342;Belm;103;52.317;8.1693;2.8;5.7;3.2;3;1.9;2.9;3.8;5;7.5;9.3;4;6.9;8.2;3.9;7.2;5.6;2.3;0.9;-0.2;-1.1;-1.4;-1.2;-1.4;-0.3;1.1;3;3.2;3.6;1.4;0;0.6
817;Burgwald-Bottendorf;293;51.0306;8.8146;0.7;2.3;1.6;3.1;0.6;-0.8;1.3;3.7;6.7;10;2.6;4.8;7.6;3.5;5.5;4.8;1.3;-1.5;-0.9;-0.7;-2.6;-0.6;-1;-1.5;0.1;1;1.8;1.9;0.9;-0.3;-0.1
5229;Villingen-Schwenningen;720;48.0452;8.4608;-4.5;-1.8;1.9;0.5;-2.4;-2.3;0;3.5;5.8;10.4;1.6;2.6;5;3.4;1.8;3.3;0.6;-1.5;-1.5;-0.7;-1.2;-2.2;-1.7;-1.4;-1.4;-2.4;-0.5;-0.9;-0.5;-1.5;-1.8
2856;Langenlipsdorf;91;51.9173;13.0878;2.4;4.2;3.4;3.1;2.6;1.3;1.2;3.2;6.7;8.8;3;5.6;9.4;5;3.9;6.3;2.4;-0.8;-0.8;0.6;-0.1;-0.3;-0.6;-0.7;0.9;2;2.8;2.9;1.5;0.8;-0.5
1490;Friedrichshafen;394;47.6452;9.4795;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4177;Rheinstetten;116;48.9726;8.3302;1.2;2;4.2;2.7;-0.2;-2.4;1.3;7.3;8.8;12.9;5.8;6.3;8.6;7;8.2;6.3;3.9;-0.4;0.6;0.9;1.7;1.8;1.9;1.2;1.6;1.8;2.8;4.1;4.1;1.8;2.1
6157;Wangerland-Hooksiel;8;53.6409;8.081;4;6.9;5.1;5.2;3.6;3.5;5;5.7;7.7;9.4;5.7;7.7;7;3.6;6.6;5.9;3;2.1;0.7;0.8;-0.8;0.2;-3;1;3;4.1;4.7;4.4;2;0.9;1.5
6158;Weidenbach-Weiherschneidbach;455;49.2247;10.6084;-0.1;-0.1;0.5;0.7;-0.6;-2.7;-0.4;2.4;6.2;10.8;2.8;3.6;4;4.2;3.5;3.9;2.3;0.8;0.4;-0.3;-0.8;-0.1;-0.7;-1;-0.3;0;0.6;1;0.8;-0.4;-1.1
6159;Dörpen;8;52.9542;7.3196;3.2;6.6;4.3;4;2.6;3.5;4.3;5.5;8.1;9.6;5.6;7.9;8.2;3.7;7;5.4;2.5;1.5;0.8;0.3;-1.6;-1;-2.4;0.7;2.2;3.7;4.2;4.3;1.9;0.1;0.8
6093;Wendisch Evern;62;53.2138;10.4704;3.4;6.1;4;3.3;3.3;2.1;3.7;4.6;6.6;8.4;3.4;6.5;7.9;3.6;5.3;5.8;1.8;0.3;-0.1;0.1;-2.6;-1.1;-2;-1.1;0.9;2.9;3.1;3.5;1.5;0.3;0.3
2319;Holzkirchen;685;47.8823;11.6962;-4.5;1.3;3.1;-0.2;-0.7;0.4;1.1;3.3;6.5;12.9;2.7;1.8;4.6;3.9;2.6;4.8;1;-0.6;-1.5;-1.6;-2.3;-1.9;-1.2;-1.1;-1.8;-1.7;-0.6;-0.8;-0.1;-1.5;-1.5
5300;Waldems-Reinborn;380;50.2599;8.3602;1.1;0.9;0.2;0.8;-0.4;-1.3;0.7;3.5;7.1;10.5;2.4;4.5;7.2;3.3;5.7;4.1;1.4;-0.5;-1.6;-2.1;-1.5;-1.3;-1.1;-1.9;0.2;0.3;1.2;1.3;0.3;-1.3;-0.5
2315;Holzdorf (Flugplatz);81;51.7657;13.1666;3.4;4.5;3.8;3.3;2.7;1.6;2.1;4;7.1;9.8;3.3;6.2;10.3;6.1;4.8;7.6;2.3;-0.6;-0.5;0.8;-0.1;0;-0.3;-0.3;1.1;2.4;3;3.5;2.3;1;0
5856;Fürstenzell;476;48.5451;13.3531;-1.2;-1.2;0.6;0.3;0.2;-1;-2.1;0.9;5.8;12;2.7;3;2.2;2.7;1.6;1.6;1.4;0.8;0.6;-1.2;-0.5;-0.1;0.2;-1;-0.5;-1;-0.3;-0.1;-0.2;-0.8;-1
298;Barth;3;54.3406;12.7108;4.5;6;4.4;3.6;3.3;0.8;3.2;4.4;6;7.2;4;6.7;7.2;3.9;4;6;2.8;0.4;-0.3;0.8;0.1;-1.1;-0.6;-0.3;1.7;2.7;3;3.3;1.6;0.4;0.9
1666;Glücksburg-Meierwik;27;54.8273;9.5057;5.4;6.8;5.2;4.6;5.9;3.6;5.2;5.8;6.7;7.5;4.7;7.1;6.2;3.3;5.3;5.8;3.6;1.9;0.8;0.3;-1.1;-1.5;-3.3;0;2.8;3.2;3.9;4.2;4.2;-0.3;-3.4
294;Barsinghausen-Hohenbostel;110;52.3198;9.4299;3.9;6.5;3.9;3.6;2.6;3.1;4.2;5.3;7.4;9.7;3.9;7;9;4.4;6.7;6.6;3.2;1.8;0.9;0.1;-1.3;-0.7;-0.7;-0.2;2.3;3.5;3.3;3.9;1.7;0.4;0.8
591;Boizenburg;45;53.3911;10.6878;3.7;6.1;4.1;3.5;3.1;2.2;3.7;4.7;6.6;8.2;3.6;6.6;7.8;3.7;5.6;6.3;2.5;0.6;0;0.4;-1.7;-1.2;-1.9;-0.9;0.9;2.8;3.5;3.6;1.7;0.4;0.3
198;Artern;164;51.3745;11.292;2.8;3.7;2.9;2.7;2.1;0.6;2.1;4.3;6.9;9.9;3.4;5.6;9.3;5.1;6.1;6.7;2.8;-0.4;-1.9;-0.2;-2.8;-0.7;-1;-0.8;0.8;1.8;2.3;2.6;1.8;0.6;0
596;Boltenhagen;15;54.0028;11.1908;4;6.1;4.3;3.9;4.6;2.8;3.9;4.6;6.5;7.7;3.5;6.8;6.9;3.9;4.7;5.6;2.1;0.6;0.4;0.7;-1;0.7;-0.7;-0.8;0.8;2.8;3.3;3.4;1.6;1.4;-0.9
4323;Ruppertsecken;461;49.6467;7.8835;0.6;-0.6;0.4;0.8;-0.1;-0.3;-0.3;4.3;6.7;9.8;2.5;3.3;6.8;2.9;6.2;2.8;1.6;-0.5;-2.8;-2.2;-2.2;-1.7;-1.2;-1.9;-0.3;-0.2;0.8;0.9;0.1;-0.9;-1
191;Arnstein-Müdesheim;220;49.9695;9.9113;1.7;2.3;1.4;2;0.8;-3;0.8;5.1;8;12.1;4.1;5.8;8.5;5.5;5.9;5.7;2.7;0;1.7;-0.1;-0.4;1.3;0.9;-1.7;1;1.3;1.9;2.9;1.6;1;0.9
3679;Kiefersfelden-Gach;518;47.6185;12.1666;-4.2;-2.2;2.2;0.9;0;-0.9;-1.4;-1.2;3.3;8.1;3.7;1.3;-0.6;1.2;1.3;4.5;2.1;0.1;-0.8;-2.1;-2.1;-0.5;0.1;-0.3;-1.2;-2.1;-0.8;-1.2;-0.6;-0.7;-2.5
4651;Seesen;186;51.9044;10.1888;2.7;4.3;2.9;3.3;1.8;1.9;2.9;4;6.6;9.4;3.1;5.6;8.3;4.5;6.6;6.3;2.9;1.1;-0.4;-0.6;-1.9;-1.1;-1.4;-1;0.9;1.9;2.2;2.8;1.6;0.3;0.3
2829;Landsberg (Flugplatz);621;48.0772;10.9144;-7.1;0;2.9;0.6;-0.1;-0.3;1.3;4.5;6.6;12.2;3;4.4;7.2;4.7;2.7;2.5;0.7;-0.1;-2.1;-1.6;-1.3;-1.5;-1.4;-0.9;-1.4;-1.2;-0.4;-0.2;0.6;-0.8;-0.8
4559;Schorndorf-Knöbling;399;49.1646;12.6176;0.1;0;1.1;0.9;-0.3;-3.2;-0.9;2.6;5.5;11.4;3.3;3.5;6.4;5.6;2.8;2.9;1.7;1.3;0.5;-1.3;0.2;1.1;0.9;-0.4;0.3;0.4;0.7;0.9;0.7;-0.6;-2.1
2542;Kaufbeuren;716;47.8652;10.6007;-8.5;1.6;3.5;0.2;-1.1;-1;2.1;4.7;6.4;11.7;2.2;3.1;4.9;3.8;1.6;2.2;0.8;-0.5;-4.3;-2.6;-1.9;-2;-1.5;-1.2;-1.9;-2;-0.4;-1.1;-0.2;-1.6;-0.9
3028;Lippspringe, Bad;157;51.7855;8.8388;2.1;5.6;2.8;2.8;1.7;2.5;3.4;5;7.2;9.4;3.4;6.9;8.9;3.9;7.1;5.6;2.4;0.8;0.4;-0.3;-1.1;-0.3;-1;-0.8;0.8;2.6;2.7;3.8;1.9;-0.2;0.7
3023;Lingen;22;52.5181;7.3081;3;6.3;4;3.7;2.3;3.7;4.3;5.6;8.3;9.9;5.2;7.6;8.4;4.1;7.4;5.7;2.7;2;1.1;0.9;-0.7;-0.8;-1.9;0.7;2.3;3.9;4;4.2;1.8;0.8;1.4
2985;Lichtenhain-Mittelndorf;321;50.9383;14.2093;1.8;2.8;2.1;1.4;0.4;-0.1;-2.4;0.8;5.6;9.5;2.2;4.9;7.8;6.3;2.1;3.8;2.7;1;0.9;-0.1;-1;0.2;-1.1;-2.2;-0.5;0.1;0.5;1.5;1.1;-0.2;-0.6
2385;Idar-Oberstein;376;49.6927;7.3264;-0.9;0.3;1;1.4;-1.7;-2.7;0.2;4.7;7.5;10.5;3.2;4.2;6.5;3.4;6.1;3.1;1.9;-0.6;-2.3;-1.7;-2.1;-0.8;-0.8;-1.3;0.1;0.5;1.5;1.7;0.7;-0.3;-0.3
2261;Hof;565;50.3122;11.8761;0.2;-0.1;-0.2;-0.1;-1;-2.3;-1.3;1.7;4.2;8.5;0.3;2.2;6.7;3.3;1.5;3.7;1.1;-1.1;-0.4;-0.9;-1.7;-1.9;-3;-2.9;-0.9;-0.8;-0.4;-0.3;-1;-1.7;-2.7
1103;Ebersberg-Halbing;592;48.1002;11.9872;-3.2;0.2;1.4;0.2;0.7;0.4;0.8;2.8;6.8;13;2.6;3;4.4;4.1;2.2;3.9;1;-0.2;-0.5;-1.5;-1.3;-1.1;-0.9;-1.3;-1.3;-1.4;-0.4;-0.8;-0.2;-1.2;-1.2
1339;Faßberg;73;52.9157;10.1885;2.7;6;3.9;3.1;2.7;1.8;3.3;4.4;7;8.6;3.3;6.2;8;4;6;6;1.6;0.3;-0.8;-0.1;-2.7;-1.1;-1.7;-1.3;0.6;2.8;2.7;3.3;1.4;0.1;0.3
2444;Jena (Sternwarte);155;50.9251;11.583;3.5;4.6;3.5;3.5;2.9;1.1;2.7;5.2;8.1;12.2;4.3;6.5;10.3;6.5;5.7;7.2;3.2;0.3;-0.4;1.1;0.3;0.1;-0.4;0.3;2;2.1;3.4;3.7;2.5;2.1;1
5009;Teterow;38;53.761;12.5574;3.8;6;4;3.3;3.8;1.9;3;4.1;6.5;7.6;2.9;6.2;7.7;3.9;4.1;5.9;2.7;0.1;-0.5;0.8;-1.2;-1.4;-0.7;-0.4;0.9;2.5;3;2.9;1.6;0.5;-0.4
445;Bernburg/Saale (Nord);84;51.8218;11.7109;3.6;5.6;3.6;3.6;3.2;1.9;3.2;4.7;7.2;10.3;4.2;6.3;9.4;5.3;5.3;6.5;2.9;-0.1;-0.9;0.1;-1.4;-0.4;-0.7;0.1;1.7;2.4;3.6;3.5;2;1.1;-0.7
1332;Falkenberg,Kr.Rottal-Inn;472;48.4832;12.724;-1.1;-1.2;0.9;0.6;0.3;-0.9;-1.1;2.6;6.6;12.5;2.9;2.8;4.8;4.5;1.9;1.5;1.2;0.9;0.6;-1.2;-0.3;0.7;0.2;-0.9;-0.1;-0.9;0.1;0.1;0.2;-0.9;-0.8
5779;Zinnwald-Georgenfeld;877;50.7314;13.7516;0;1.1;-2;-2.5;-2.7;-3.2;-3;-0.6;1.6;5.7;-2.4;0.1;4.4;1.8;-2.2;-0.8;-1;-2.4;-2.8;-4;-4.4;-1.9;-4.3;-4.8;-3.5;-3.3;-2.4;-2.7;-3.7;-4.6;-4.9
6346;Maisach-Galgen;530;48.2072;11.2034;-6.4;-0.3;2.1;1;0.6;0.1;0.9;4.4;6.8;12.4;3.3;3.6;6.3;5.4;2.6;1.4;0.9;0.4;-0.5;-1;-0.6;-0.7;-0.7;-0.5;-0.8;-0.7;0.1;-0.1;1.1;-0.2;-0.6
5676;Wolfsburg (Südwest);82;52.3961;10.6898;3.1;5.5;3.9;3.2;2.6;2.1;3.7;4.8;7.1;9.1;3.8;6.8;9;4.7;7.1;6.7;2.3;0.4;-0.9;-0.4;-2;-0.8;-0.8;-0.9;0.5;2.8;3;3.7;2;0.5;0
102;Leuchtturm Alte Weser;32;53.8617;8.1266;4;7;5.7;6.1;4.7;3.5;5.6;5.8;6.9;8.5;6.3;7.4;6.7;4.1;6.3;5.9;4.2;2.4;2;1.8;0.3;0.5;-1.2;2.5;4.9;4.3;5.5;4.4;2.2;;
2044;Harzgerode;404;51.652;11.1367;1.4;2.5;1.2;1.9;0.7;-0.3;1.3;2.5;4.7;7.9;1.1;3.4;7.1;2.9;3.8;4.7;0.8;-1.4;-2;-1.5;-4.3;-2.9;-3.2;-2.5;0.3;0.2;1.2;0.6;-0.3;-1;-2.3
6272;Moorgrund Gräfen-Nitzendorf;283;50.8424;10.2516;1.2;2;1.6;2.4;0.9;-1.3;0.3;3.3;6.6;10.4;2.8;4.8;8.9;4.4;4.5;5.6;2.2;-0.7;-0.4;-0.4;-2.1;-1.5;-1;-1.5;0.8;0.6;1.8;2.3;0.9;0;-0.6
6275;Notzingen;325;48.6707;9.4625;0.3;0.1;1.4;2.4;0.1;-2.2;0;4.6;8;13;4;3.9;4.6;6.2;6.8;6.3;3.1;0.4;0.1;0.4;1;0.6;0.6;0.9;1.1;1.1;1.8;3.3;3.2;1.5;0.9
1266;Erfde;18;54.2989;9.3161;4.2;6.4;4.7;3.7;5.1;3;4.7;5.3;6.8;7.6;4.7;7;6.4;3.2;5.1;5.4;2.5;1.7;0.4;-0.5;-2.1;-2.3;-4.5;-0.7;2.3;2.8;3.4;3.8;1.1;-1;-2.7
3093;Lüchow;17;52.9724;11.1374;3.9;6.5;4.4;3.9;3.5;2.6;3.5;4.6;7.3;9.1;3.7;6.7;8.6;4.8;5.6;6.5;2.3;0.4;-0.3;0.5;-2.2;-1;-1.1;-0.4;1.1;3.1;3.6;3.9;1.9;1.1;0.8
642;Brake;1;53.3517;8.4969;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3098;Lüdenscheid;387;51.2452;7.6425;1.2;2.7;0.6;1.7;0.9;1.5;1.9;3.6;6.2;8.3;1.6;4.4;6.8;1.8;5.6;4;1.1;-0.2;-0.8;-1.3;-1.6;-2;-2.3;-1;0.5;1.2;1.7;1.6;0.2;-1;-0.6
433;Berlin-Tempelhof;48;52.4675;13.4021;3.9;5.4;4.8;3.6;3.4;1;2.2;3.6;6.4;8.8;3.7;5.8;10;6.3;5.1;7.9;3.7;0.4;-0.4;1;0.8;-0.3;0.3;-0.1;1.2;2.4;3.5;3.3;2.3;1;0.5
430;Berlin-Tegel;36;52.5644;13.3088;3.7;5.5;4.5;3.6;3.4;1.3;2.1;3.7;6.3;8.7;3.5;5.8;10.1;6;5.2;8.1;3.1;0.7;0;1.4;0.7;-0.1;0.3;-0.1;0.9;2.5;3.2;3.3;2.5;1;0.2
330;Beerfelden;450;49.5617;8.9679;0.1;0.1;0.3;0.4;-0.7;-1.1;-0.1;4.1;6.4;9.8;2.6;4.3;8.3;3.5;4.6;4.4;1.7;-0.4;-0.2;-1.5;-1.8;-1;-1.2;-2.4;-0.3;-0.3;0.6;0.9;0.1;-0.9;-1
2618;Kleiner Inselsberg;732;50.8458;10.4803;-0.2;-0.9;-1.5;-1.1;-2.6;-3.8;-2.1;0.3;2.3;6.2;-1.4;0.8;4.6;0.7;1.2;2.4;-0.8;-3.2;-2.3;-2.8;-4.2;-4.3;-4.3;-4.6;-1.9;-1.8;-1.6;-1.3;-2.7;-3.3;-3.6
4104;Regensburg;365;49.0424;12.1021;0.1;-0.5;0.8;1.1;0.7;-1;-1.3;1.1;5.4;11.7;3.7;3.3;2.5;4.3;1.5;2.4;2.3;2.1;1.5;-0.2;0.3;1.1;0.7;-0.1;0.9;0.6;1.1;1.4;1.4;-0.6;-1.1
7341;Offenbach-Wetterpark;119;50.09;8.7862;2.4;2.2;1.4;2.9;0.7;-2.5;1.9;5.8;8.6;12.7;5.2;6.3;9.1;5.6;8.1;6.1;3.7;0.1;-0.7;-0.4;-0.5;0.9;0.8;-1.3;0.3;1.5;3.4;3.4;2.3;1.7;1.6
5133;Twistetal-Mühlhausen;295;51.3343;8.9132;0.3;3.5;2.2;3;0.5;0;1.9;3.4;7;9.8;3.4;5.4;7.5;3.3;5.1;4.6;1.7;-0.7;-0.5;-1.1;-3.1;-0.9;-1.5;-0.7;2;1.5;2.3;2;0.7;-1;-1.1
856;Chieming;551;47.8843;12.5404;-2.9;0.8;3.3;1.2;1.3;0.4;1.5;4;7.5;13.2;4.3;2.8;4.2;4.2;2.6;5.3;1.9;0.3;-0.6;-1.4;-2.5;-1.1;0.1;-0.2;-0.5;-1.4;0.3;0.3;0.3;0.2;-0.8
850;Celle;39;52.5959;10.0296;3.2;6.5;4.1;3.5;2.6;1.8;3.8;4.6;7.4;9.3;4.3;7.1;8.9;4.6;6.7;6.5;1.9;0.1;-0.5;-0.1;-2.5;-0.5;-0.6;-1.3;0.8;3;3;3.8;1.7;0.2;0.2
853;Chemnitz;418;50.7913;12.872;1.6;2.5;0.9;0.6;0.2;0.9;0.4;3;5.3;9;1.4;3.7;8.3;4.6;4;5.9;1.8;0.2;0.5;-0.1;-1.1;-0.9;-2;-2.1;-0.5;0.3;0.4;1.1;0.5;-0.2;-1.3
3513;Neuhaus am Rennweg;845;50.5002;11.1344;-0.2;-1.7;-2;-1.8;-2.8;-3.6;-2.4;0;2;6.1;-1.7;0;3.2;0.7;0.2;2.6;-0.4;-3.3;-2.4;-2.8;-4.2;-3.8;-4.6;-5;-2.2;-2.4;-2.1;-1.8;-2.9;-3.5;-4.1
5705;Würzburg;268;49.7703;9.9577;1;1.7;1;2;1.7;-2.9;0.7;4.8;7.8;12;4.1;5.2;8.8;5.3;5;5.7;3.4;0.8;2;-0.1;-0.9;0.9;0.7;-0.5;1.2;0.9;2.1;2.5;1.6;1;0.7
7412;Neuhütten/Spessart;340;50.0083;9.4239;1.8;2.1;0.8;1;0;-4.1;0.2;4.7;7.1;10.6;3.1;4.9;9.2;4.5;6;4.8;2.1;-0.7;0.1;-1;-1.4;0;-0.2;-2;0.1;0.5;1.3;1.9;0.5;-0.1;-0.2
7410;Neu-Ulrichstein;350;50.7519;9.0226;0.5;0.8;0.3;1.8;0.2;-2.3;-0.4;3;6;9.8;2.1;4.1;6.4;2.8;5.3;4.4;1.7;-1.1;-0.8;-1.3;-2.5;-1.5;-1.9;-2.3;-0.1;-0.1;1;1;0;-0.8;-0.7
7419;Langenwetzendorf-Göttendorf;390;50.661;12.0757;2;1.7;1.2;1.2;1;0;0.5;3.2;5.7;9.5;2.1;3.8;8;4.6;3.1;5.2;1.9;-0.2;-0.1;0;-1.8;-1.6;-2;-1.7;0.2;0.4;1;1.1;0.3;-0.5;-1.7
2680;Königshofen, Bad;288;50.2841;10.4456;1.5;1.7;1.2;1.6;1;-2.3;0.3;4.2;6.8;10.7;3.1;4.7;8.4;4.8;5.4;5.5;2.7;-1.2;0.7;0.3;-0.3;0.3;0.1;-1.8;0.7;0.8;1.5;2.1;0.8;0.5;0.1
3897;Pelzerhaken;1;54.0893;10.8773;4.7;6.8;4.8;3.9;5;3.6;4.7;5.2;7;8;4;7;6.9;4.3;5.2;6.3;3.4;1.9;1.7;1.2;-0.6;-0.8;-0.4;-0.5;1.6;3.4;3.5;4;2.3;1.7;-1.4
91;Alsfeld-Eifa;300;50.7446;9.345;1.2;2.1;1.4;1.9;0.1;-2;1;4.4;6.8;10.3;2.7;4.7;7.8;3.9;6.3;5.4;1.8;-0.4;-1;-1.1;-2;-0.7;-0.9;-1.9;0.1;1;1.4;2.1;1;-0.2;-0.7
4174;Rheine-Bentlage;40;52.2887;7.3866;;;;11.3;4.4;3.4;4;5.6;8.2;9.9;4.6;7.4;8.6;4.2;7.5;5.7;2.4;2.2;0.8;0.4;-1.3;-0.9;-1;0.6;1.6;3.8;4;4.1;1.3;0.6;1.3
4175;Rheinfelden;287;47.5627;7.7936;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993;Hameln;68;52.0848;9.3896;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3204;Martinroda;427;50.7334;10.8815;2.2;2.5;1.2;1.8;0.7;-0.6;1.4;3.7;5.7;9.8;1.9;3.9;7.5;3.8;4;4.9;1.4;-0.5;0;-0.8;-1.7;-2.2;-2.4;-2.3;0.4;0.8;1.4;1.5;0.2;-0.6;-0.9
5797;Lichtentanne;353;50.688;12.4328;2.3;2.3;1.6;1.3;1.3;1.3;1.1;3.6;6.2;9.9;2.5;4.4;8.8;5.2;5;6.6;2.4;0.3;-0.1;0.4;-1.4;-1.2;-1.5;-1.2;0.3;0.9;1.2;1.7;1.1;0.5;-0.6
5792;Zugspitze;2964;47.4209;10.9847;-5.2;-4.6;-7.6;-14.8;-13.6;-8.4;-9.1;-6.3;-7.2;-3.2;-12.1;-10.2;-4.1;-9.7;-6.3;-6.4;-10.9;-13.7;-12.6;-11.7;-9.8;-9;-11.3;-14.3;-18;-16;-16.1;-14.5;-12.8;-16.9;-17
3639;Nordholz (Flugplatz);25;53.7647;8.6583;3.3;6.3;4.7;4.5;3.5;2.8;4.6;5.1;6.7;8.3;5;7.1;6.5;3.3;5.7;5.3;2.7;1.5;0.3;0.1;-1.8;-2.5;-4.4;0;2.7;3.3;4.2;3.9;1.5;0.4;-0.3
555;Bochum;101;51.4789;7.2697;3.1;5.8;3;3.3;2.8;3.8;4.2;5.8;8.5;10.5;4.4;7.4;8.9;4.3;7.8;6.3;2.8;2.2;0.2;0.4;-0.5;-0.2;-0.6;0.6;1.7;3.8;3.8;4.2;2.8;0.9;1.6
3631;Norderney;11;53.7123;7.1519;4.5;7.1;5.9;6.1;4.4;3.6;5.4;5.9;7.2;8.6;6.4;7.5;6.7;4.2;6.2;5.8;4.2;2.5;1.7;1.7;-0.2;0.1;-1.4;1.9;4.3;4.3;5.1;4.4;2.5;1.7;2.5
2947;Lennestadt-Theten;286;51.1334;8.0352;2;3.3;1.5;2.7;1.4;0.9;2.3;4.5;7.1;9.8;2.7;5.2;7.7;3.2;6.7;4.9;1.7;0.5;0.2;-0.1;-1;-1.3;-1;-0.4;1.3;1.7;2.3;2.5;1.2;0.1;0.3
232;Augsburg;461;48.4254;10.942;-3.3;-1;1.3;1.3;0.5;-1.1;-0.3;4.9;6.8;12.5;3.4;3.6;6.4;5.8;2.9;1.7;1.3;0.9;-0.2;-0.3;-0.1;0;-0.2;-0.1;-0.2;0.1;0.6;0.9;1.5;0.4;-0.2
1050;Dresden-Hosterwitz;114;51.0221;13.847;1.5;4.6;4.1;3.4;2.6;2.3;0.8;3.8;7.9;11.4;4.4;6.9;11.3;7.7;4.9;6.6;4.4;1.5;1.4;1.8;0.6;1.5;0.3;0;1.4;2.6;2.9;4;3.5;1.9;1.4
1051;Dresden-Strehlen;119;51.024;13.7737;2.2;4.8;4.2;3.5;2.7;2.3;0.8;3.7;8;11.5;4.3;6.9;11.6;7.8;4.7;6.6;4.3;1.2;0.9;1.7;0.6;1.4;0.2;0;1.6;2.6;2.8;4;3.4;2;1.6
